Total 1 configurations will be processed in 1 threads
parsing download/binance-short-btcusdt-1m-processed.json
mapped_file::open: base=0x7f09fdc00000
download/binance-short-btcusdt-1m-processed.json: load 226080 elements
parsing took 0.107 sec
parsing download/binance-short-ethusdt-1m-processed.json
mapped_file::open: base=0x7f09fde00000
download/binance-short-ethusdt-1m-processed.json: load 226080 elements
parsing took 0.103 sec
parsing download/binance-short-ethbtc-1m-processed.json
mapped_file::open: base=0x7f09f9800000
download/binance-short-ethbtc-1m-processed.json: load 226080 elements
parsing took 0.107 sec
sorting took 0.177 sec
1.0000000000000000 93488.8399999999965075 3340.0399999999999636 
Using temp file '_tmp.31481' as interprocedural connect
mapped_file::open: base=0x7f09c4200000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1735685975 0.0%	trades: 0	AMM: 93488.840, 3340.040	Target: 93488.840, 3340.040	Vol: 0.0000	PR:-nan	xCP-growth: {1.0000000000}	APY:0.0%	fee:0.030% *
t=1735696215 0.1%	trades: 0	AMM: 93787.831, 3354.521	Target: 93634.241, 3342.130	Vol: 428167.2886	PR:0.68	xCP-growth: {1.0000061402}	APY:1.9%	fee:0.043% *
t=1735706455 0.2%	trades: 0	AMM: 93774.774, 3347.509	Target: 93691.016, 3346.608	Vol: 534461.3402	PR:0.59	xCP-growth: {1.0000066649}	APY:1.0%	fee:0.033% *
t=1735716695 0.2%	trades: 0	AMM: 93700.176, 3342.492	Target: 93657.813, 3342.943	Vol: 802745.6677	PR:0.55	xCP-growth: {1.0000087448}	APY:0.9%	fee:0.037% *
t=1735726935 0.3%	trades: 0	AMM: 93490.276, 3331.012	Target: 93641.193, 3343.049	Vol: 1048641.8206	PR:0.58	xCP-growth: {1.0000124965}	APY:1.0%	fee:0.043% *
t=1735737175 0.4%	trades: 0	AMM: 93717.822, 3339.745	Target: 93666.810, 3342.488	Vol: 1300215.0076	PR:0.52	xCP-growth: {1.0000138503}	APY:0.9%	fee:0.037% *
t=1735747415 0.5%	trades: 0	AMM: 94315.255, 3352.542	Target: 94037.111, 3349.899	Vol: 1644530.6254	PR:0.54	xCP-growth: {1.0000187401}	APY:1.0%	fee:0.047% *
t=1735757655 0.5%	trades: 0	AMM: 94271.935, 3349.808	Target: 94046.910, 3345.444	Vol: 1854228.0913	PR:0.54	xCP-growth: {1.0000214535}	APY:0.9%	fee:0.043% *
t=1735767895 0.6%	trades: 0	AMM: 94852.658, 3369.192	Target: 94524.109, 3357.084	Vol: 2160358.0112	PR:0.53	xCP-growth: {1.0000249041}	APY:1.0%	fee:0.046% *
t=1735778135 0.7%	trades: 0	AMM: 95101.954, 3386.134	Target: 94677.755, 3367.148	Vol: 2540468.6098	PR:0.51	xCP-growth: {1.0000280141}	APY:1.0%	fee:0.058% *
t=1735788375 0.8%	trades: 0	AMM: 95046.098, 3394.941	Target: 94759.318, 3372.055	Vol: 2704589.0086	PR:0.52	xCP-growth: {1.0000305490}	APY:0.9%	fee:0.056% *
t=1735798615 0.8%	trades: 0	AMM: 95596.890, 3408.010	Target: 94834.496, 3375.701	Vol: 2793119.9622	PR:0.52	xCP-growth: {1.0000321892}	APY:0.9%	fee:0.068% *
t=1735808855 0.9%	trades: 0	AMM: 96061.555, 3434.285	Target: 94928.022, 3379.959	Vol: 2853239.2096	PR:0.51	xCP-growth: {1.0000329869}	APY:0.9%	fee:0.089% *
t=1735819095 1.0%	trades: 0	AMM: 96536.995, 3470.954	Target: 95093.535, 3388.668	Vol: 2930936.8329	PR:0.50	xCP-growth: {1.0000347671}	APY:0.8%	fee:0.117% *
t=1735829335 1.1%	trades: 1	AMM: 97063.083, 3479.874	Target: 95461.821, 3408.257	Vol: 3229174.2266	PR:0.52	xCP-growth: {1.0000441459}	APY:1.0%	fee:0.112% *
t=1735839575 1.1%	trades: 0	AMM: 96417.076, 3471.372	Target: 95870.758, 3426.884	Vol: 3475724.7668	PR:0.50	xCP-growth: {1.0000479535}	APY:1.0%	fee:0.056% *
t=1735849815 1.2%	trades: 0	AMM: 97695.399, 3461.630	Target: 96115.983, 3432.839	Vol: 3649406.3403	PR:0.50	xCP-growth: {1.0000507433}	APY:1.0%	fee:0.088% *
t=1735860055 1.3%	trades: 0	AMM: 96807.608, 3445.874	Target: 96200.627, 3433.539	Vol: 3791974.4330	PR:0.51	xCP-growth: {1.0000541005}	APY:1.0%	fee:0.059% *
t=1735870295 1.4%	trades: 0	AMM: 96753.871, 3469.652	Target: 96334.606, 3437.766	Vol: 3887318.2843	PR:0.51	xCP-growth: {1.0000548538}	APY:0.9%	fee:0.066% *
t=1735880535 1.4%	trades: 0	AMM: 96753.871, 3459.873	Target: 96334.606, 3437.766	Vol: 3942332.2910	PR:0.51	xCP-growth: {1.0000565175}	APY:0.9%	fee:0.056% *
t=1735890775 1.5%	trades: 0	AMM: 96407.138, 3436.501	Target: 96447.702, 3441.831	Vol: 4075323.4144	PR:0.51	xCP-growth: {1.0000575751}	APY:0.9%	fee:0.036% *
t=1735901015 1.6%	trades: 0	AMM: 96534.181, 3450.309	Target: 96359.311, 3437.878	Vol: 4286336.3198	PR:0.52	xCP-growth: {1.0000602571}	APY:0.9%	fee:0.044% *
t=1735911255 1.7%	trades: 0	AMM: 96620.788, 3487.353	Target: 96476.480, 3445.119	Vol: 4417512.0368	PR:0.51	xCP-growth: {1.0000616961}	APY:0.9%	fee:0.078% *
t=1735921495 1.7%	trades: 0	AMM: 98262.081, 3586.680	Target: 96708.027, 3479.056	Vol: 4758581.0109	PR:0.51	xCP-growth: {1.0000708914}	APY:1.0%	fee:0.144% *
t=1735931735 1.8%	trades: 0	AMM: 98615.530, 3621.252	Target: 96843.830, 3489.420	Vol: 4888181.7948	PR:0.51	xCP-growth: {1.0000766293}	APY:1.0%	fee:0.158% .
t=1735941975 1.9%	trades: 0	AMM: 98376.957, 3618.833	Target: 97018.255, 3501.922	Vol: 4956632.8975	PR:0.51	xCP-growth: {1.0000780714}	APY:1.0%	fee:0.145% *
