Total 1 configurations will be processed in 1 threads
parsing download/binance-short-btcusdt-1m-processed.json
mapped_file::open: base=0x7f469dc00000
download/binance-short-btcusdt-1m-processed.json: load 226080 elements
parsing took 0.104 sec
parsing download/binance-short-ethusdt-1m-processed.json
mapped_file::open: base=0x7f469dc00000
download/binance-short-ethusdt-1m-processed.json: load 226080 elements
parsing took 0.103 sec
parsing download/binance-short-ethbtc-1m-processed.json
mapped_file::open: base=0x7f469de00000
download/binance-short-ethbtc-1m-processed.json: load 226080 elements
parsing took 0.103 sec
sorting took 0.173 sec
1.0000000000000000 93488.8399999999965075 3340.0399999999999636 
Using temp file '_tmp.31465' as interprocedural connect
mapped_file::open: base=0x7f4664e00000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1735685975 0.0%	trades: 0	AMM: 93488.840, 3340.040	Target: 93488.840, 3340.040	Vol: 0.0000	PR:-nan	xCP-growth: {1.0000000000}	APY:0.0%	fee:0.010% *
t=1735696215 0.1%	trades: 0	AMM: 94200.274, 3357.811	Target: 93700.083, 3348.315	Vol: 260010.4176	PR:0.56	xCP-growth: {1.0000079935}	APY:2.5%	fee:0.208% .
t=1735706455 0.2%	trades: 0	AMM: 93827.394, 3350.049	Target: 93830.378, 3351.956	Vol: 542170.3694	PR:0.51	xCP-growth: {1.0000118276}	APY:1.8%	fee:0.074% .
t=1735716695 0.2%	trades: 0	AMM: 93775.907, 3343.261	Target: 93787.447, 3348.209	Vol: 666989.7552	PR:0.50	xCP-growth: {1.0000136302}	APY:1.4%	fee:0.113% .
t=1735726935 0.3%	trades: 0	AMM: 93470.313, 3326.704	Target: 93721.393, 3345.366	Vol: 707982.5690	PR:0.51	xCP-growth: {1.0000159136}	APY:1.2%	fee:0.280% .
t=1735737175 0.4%	trades: 0	AMM: 93809.496, 3341.714	Target: 93781.950, 3345.276	Vol: 963344.4804	PR:0.51	xCP-growth: {1.0000212249}	APY:1.3%	fee:0.079% .
t=1735747415 0.5%	trades: 0	AMM: 94208.512, 3350.926	Target: 94171.474, 3351.325	Vol: 1380186.0916	PR:0.54	xCP-growth: {1.0000388635}	APY:2.0%	fee:0.114% .
t=1735757655 0.5%	trades: 0	AMM: 94171.744, 3345.551	Target: 94082.592, 3349.414	Vol: 1544261.0429	PR:0.54	xCP-growth: {1.0000459520}	APY:2.0%	fee:0.129% .
t=1735767895 0.6%	trades: 0	AMM: 94902.379, 3360.606	Target: 94670.950, 3367.704	Vol: 1638734.6567	PR:0.50	xCP-growth: {1.0000475536}	APY:1.8%	fee:0.219% .
t=1735778135 0.7%	trades: 0	AMM: 94885.097, 3377.106	Target: 94737.879, 3369.057	Vol: 1875155.6649	PR:0.50	xCP-growth: {1.0000568385}	APY:2.0%	fee:0.237% .
t=1735788375 0.8%	trades: 0	AMM: 95007.094, 3390.582	Target: 94921.782, 3378.780	Vol: 1973917.5388	PR:0.50	xCP-growth: {1.0000618543}	APY:1.9%	fee:0.213% .
t=1735798615 0.8%	trades: 0	AMM: 95584.522, 3412.592	Target: 95025.366, 3384.011	Vol: 2018088.5388	PR:0.50	xCP-growth: {1.0000656737}	APY:1.9%	fee:0.360% .
t=1735808855 0.9%	trades: 0	AMM: 95584.522, 3427.026	Target: 95025.366, 3384.011	Vol: 2033838.3388	PR:0.51	xCP-growth: {1.0000690527}	APY:1.8%	fee:0.459% .
t=1735819095 1.0%	trades: 0	AMM: 96342.687, 3452.719	Target: 95132.476, 3390.464	Vol: 2064788.3388	PR:0.51	xCP-growth: {1.0000727873}	APY:1.7%	fee:0.582% .
t=1735829335 1.1%	trades: 0	AMM: 96342.687, 3467.708	Target: 95132.476, 3390.464	Vol: 2078977.9388	PR:0.52	xCP-growth: {1.0000772294}	APY:1.7%	fee:0.659% .
t=1735839575 1.1%	trades: 0	AMM: 96926.933, 3468.255	Target: 95253.497, 3396.675	Vol: 2103785.9176	PR:0.52	xCP-growth: {1.0000808209}	APY:1.7%	fee:0.631% .
t=1735849815 1.2%	trades: 0	AMM: 97200.576, 3442.723	Target: 95544.076, 3407.002	Vol: 2161791.0894	PR:0.51	xCP-growth: {1.0000872247}	APY:1.7%	fee:0.587% .
t=1735860055 1.3%	trades: 0	AMM: 97200.576, 3438.886	Target: 95709.726, 3411.006	Vol: 2190234.2877	PR:0.51	xCP-growth: {1.0000894756}	APY:1.6%	fee:0.406% .
t=1735870295 1.4%	trades: 0	AMM: 97200.576, 3450.771	Target: 95709.726, 3411.006	Vol: 2205108.4877	PR:0.52	xCP-growth: {1.0000928547}	APY:1.6%	fee:0.482% .
t=1735880535 1.4%	trades: 0	AMM: 97200.576, 3460.353	Target: 95858.811, 3414.983	Vol: 2215831.0877	PR:0.50	xCP-growth: {1.0000918726}	APY:1.5%	fee:0.504% .
t=1735890775 1.5%	trades: 0	AMM: 96694.096, 3450.552	Target: 95858.811, 3414.983	Vol: 2235854.1294	PR:0.51	xCP-growth: {1.0000960795}	APY:1.5%	fee:0.393% .
t=1735901015 1.6%	trades: 0	AMM: 96694.096, 3439.335	Target: 96022.191, 3420.049	Vol: 2264919.6917	PR:0.50	xCP-growth: {1.0000956418}	APY:1.4%	fee:0.300% .
t=1735911255 1.7%	trades: 0	AMM: 96694.096, 3458.996	Target: 96204.277, 3429.548	Vol: 2343786.0060	PR:0.51	xCP-growth: {1.0001057252}	APY:1.5%	fee:0.509% .
t=1735921495 1.7%	trades: 0	AMM: 96694.096, 3567.341	Target: 96337.018, 3449.143	Vol: 2424684.8493	PR:0.51	xCP-growth: {1.0001203013}	APY:1.6%	fee:0.811% .
t=1735931735 1.8%	trades: 0	AMM: 96694.096, 3592.321	Target: 96372.726, 3460.545	Vol: 2446891.2493	PR:0.50	xCP-growth: {1.0001225951}	APY:1.6%	fee:0.853% .
t=1735941975 1.9%	trades: 0	AMM: 96694.096, 3598.995	Target: 96372.726, 3460.545	Vol: 2453884.2493	PR:0.51	xCP-growth: {1.0001255479}	APY:1.6%	fee:0.879% .
