Total 1 configurations will be processed in 1 threads
parsing download/uni-short-btcusdc-1m.json
mapped_file::open: base=0x7f9116e00000
download/uni-short-btcusdc-1m.json: load 226081 elements
parsing took 0.132 sec
parsing download/uni-short-ethusdc-1m.json
mapped_file::open: base=0x7f9116e00000
download/uni-short-ethusdc-1m.json: load 226081 elements
parsing took 0.133 sec
parsing download/uni-short-ethbtc-1m.json
mapped_file::open: base=0x7f9116c00000
download/uni-short-ethbtc-1m.json: load 226081 elements
parsing took 0.130 sec
sorting took 0.177 sec
1.0000000000000000 93232.6346195622172672 3331.8023377815734420 
Using temp file '_tmp.31699' as interprocedural connect
mapped_file::open: base=0x7f9105400000
[0]: simulation thread started
[0]: pick up configuration 0
Configuration 0: begin simulation
t=1735689635 0.0%	trades: 0	AMM: 93232.635, 3331.802	Target: 93232.635, 3331.802	Vol: 0.0000	PR:-nan	xCP-growth: {1.0000000000}	APY:0.0%	fee:0.010% *
t=1735699875 0.1%	trades: 0	AMM: 93415.160, 3347.200	Target: 93394.928, 3344.175	Vol: 298825.1236	PR:0.50	xCP-growth: {1.0000070165}	APY:2.2%	fee:0.097% .
t=1735710115 0.2%	trades: 0	AMM: 93388.284, 3339.844	Target: 93391.554, 3345.380	Vol: 396725.2423	PR:0.50	xCP-growth: {1.0000085933}	APY:1.3%	fee:0.131% .
t=1735720355 0.2%	trades: 0	AMM: 93241.496, 3340.854	Target: 93361.458, 3342.171	Vol: 464822.6284	PR:0.50	xCP-growth: {1.0000101358}	APY:1.0%	fee:0.142% .
t=1735730595 0.3%	trades: 0	AMM: 93021.441, 3323.346	Target: 93289.751, 3341.081	Vol: 492673.1230	PR:0.51	xCP-growth: {1.0000120025}	APY:0.9%	fee:0.273% .
t=1735740835 0.4%	trades: 0	AMM: 93801.390, 3339.302	Target: 93395.975, 3336.898	Vol: 790720.7437	PR:0.50	xCP-growth: {1.0000189791}	APY:1.2%	fee:0.238% .
t=1735751075 0.5%	trades: 0	AMM: 93776.824, 3334.880	Target: 93780.584, 3343.646	Vol: 1065931.7427	PR:0.55	xCP-growth: {1.0000308181}	APY:1.6%	fee:0.175% .
t=1735761315 0.5%	trades: 0	AMM: 94126.869, 3342.860	Target: 93967.424, 3349.989	Vol: 1247897.7340	PR:0.54	xCP-growth: {1.0000391847}	APY:1.7%	fee:0.209% .
t=1735771555 0.6%	trades: 0	AMM: 94466.938, 3351.159	Target: 94338.117, 3359.290	Vol: 1313383.4091	PR:0.50	xCP-growth: {1.0000382873}	APY:1.5%	fee:0.059% .
t=1735781795 0.7%	trades: 0	AMM: 94709.791, 3372.298	Target: 94349.259, 3362.004	Vol: 1533053.9653	PR:0.50	xCP-growth: {1.0000471795}	APY:1.6%	fee:0.302% .
t=1735792035 0.8%	trades: 0	AMM: 94709.791, 3372.298	Target: 94349.259, 3362.004	Vol: 1533053.9653	PR:0.50	xCP-growth: {1.0000471795}	APY:1.5%	fee:0.302% .
t=1735802275 0.8%	trades: 0	AMM: 94997.595, 3401.449	Target: 94452.932, 3364.501	Vol: 1559615.7653	PR:0.51	xCP-growth: {1.0000500305}	APY:1.4%	fee:0.416% .
t=1735812515 0.9%	trades: 0	AMM: 95550.839, 3437.411	Target: 94507.399, 3368.424	Vol: 1596925.1653	PR:0.53	xCP-growth: {1.0000571081}	APY:1.5%	fee:0.608% .
t=1735822755 1.0%	trades: 0	AMM: 95550.839, 3449.804	Target: 94611.737, 3374.278	Vol: 1608320.9653	PR:0.50	xCP-growth: {1.0000567190}	APY:1.4%	fee:0.638% .
t=1735832995 1.1%	trades: 0	AMM: 95550.839, 3468.673	Target: 94611.737, 3374.278	Vol: 1626018.5653	PR:0.53	xCP-growth: {1.0000628615}	APY:1.4%	fee:0.729% .
t=1735843235 1.1%	trades: 0	AMM: 96509.379, 3438.725	Target: 95047.096, 3393.972	Vol: 1728480.1652	PR:0.51	xCP-growth: {1.0000724735}	APY:1.5%	fee:0.483% .
t=1735853475 1.2%	trades: 0	AMM: 96771.713, 3438.725	Target: 95209.856, 3398.903	Vol: 1753601.9652	PR:0.50	xCP-growth: {1.0000750068}	APY:1.5%	fee:0.573% .
t=1735863715 1.3%	trades: 0	AMM: 96771.713, 3442.279	Target: 95209.856, 3398.903	Vol: 1767021.7276	PR:0.51	xCP-growth: {1.0000783098}	APY:1.4%	fee:0.504% .
t=1735873955 1.4%	trades: 0	AMM: 96771.713, 3450.730	Target: 95209.856, 3398.903	Vol: 1776260.5276	PR:0.52	xCP-growth: {1.0000807500}	APY:1.4%	fee:0.552% .
t=1735884195 1.4%	trades: 0	AMM: 96771.713, 3450.730	Target: 95209.856, 3398.903	Vol: 1776260.5276	PR:0.52	xCP-growth: {1.0000807500}	APY:1.3%	fee:0.552% .
t=1735894435 1.5%	trades: 0	AMM: 96153.320, 3438.529	Target: 95346.137, 3404.013	Vol: 1800295.3822	PR:0.51	xCP-growth: {1.0000819436}	APY:1.3%	fee:0.382% .
t=1735904675 1.6%	trades: 0	AMM: 96153.320, 3438.860	Target: 95346.137, 3404.013	Vol: 1807272.1822	PR:0.51	xCP-growth: {1.0000833880}	APY:1.2%	fee:0.423% .
t=1735914915 1.7%	trades: 0	AMM: 96153.320, 3502.449	Target: 95623.727, 3421.339	Vol: 1889806.5581	PR:0.51	xCP-growth: {1.0000934277}	APY:1.3%	fee:0.654% .
t=1735925155 1.7%	trades: 0	AMM: 96153.320, 3561.950	Target: 95724.350, 3438.743	Vol: 1953827.3243	PR:0.51	xCP-growth: {1.0001062132}	APY:1.4%	fee:0.829% .
t=1735935395 1.8%	trades: 0	AMM: 96153.320, 3595.530	Target: 95767.247, 3450.389	Vol: 1984688.5243	PR:0.51	xCP-growth: {1.0001125887}	APY:1.5%	fee:0.901% .
t=1735945635 1.9%	trades: 0	AMM: 96153.320, 3595.530	Target: 95767.247, 3450.389	Vol: 1984688.5243	PR:0.51	xCP-growth: {1.0001125887}	APY:1.4%	fee:0.901% .
t=1735955875 2.0%	trades: 0	AMM: 96153.320, 3595.530	Target: 95767.247, 3450.389	Vol: 1984688.5243	PR:0.51	xCP-growth: {1.0001125887}	APY:1.3%	fee:0.901% .
t=1735966115 2.0%	trades: 0	AMM: 96153.320, 3595.530	Target: 95767.247, 3450.389	Vol: 1984688.5243	PR:0.51	xCP-growth: {1.0001125887}	APY:1.3%	fee:0.901% .
t=1735976355 2.1%	trades: 0	AMM: 96153.320, 3595.530	Target: 95767.247, 3450.389	Vol: 1984688.5243	PR:0.51	xCP-growth: {1.0001125887}	APY:1.2%	fee:0.901% .
t=1735986595 2.2%	trades: 0	AMM: 96153.320, 3595.530	Target: 95767.247, 3450.389	Vol: 1984688.5243	PR:0.51	xCP-growth: {1.0001125887}	APY:1.2%	fee:0.901% .
t=1735996835 2.3%	trades: 0	AMM: 96153.320, 3595.530	Target: 95767.247, 3450.389	Vol: 2006357.7302	PR:0.53	xCP-growth: {1.0001223784}	APY:1.3%	fee:0.938% .
t=1736007075 2.3%	trades: 0	AMM: 96153.320, 3623.320	Target: 95805.854, 3463.486	Vol: 2021101.9302	PR:0.51	xCP-growth: {1.0001214141}	APY:1.2%	fee:0.942% .
t=1736017315 2.4%	trades: 0	AMM: 96153.320, 3623.320	Target: 95805.854, 3463.486	Vol: 2021101.9302	PR:0.51	xCP-growth: {1.0001214141}	APY:1.2%	fee:0.942% .
t=1736027555 2.5%	trades: 0	AMM: 96153.320, 3628.039	Target: 95805.854, 3463.486	Vol: 2025312.3302	PR:0.51	xCP-growth: {1.0001233369}	APY:1.2%	fee:0.954% .
t=1736037795 2.6%	trades: 0	AMM: 96153.320, 3638.499	Target: 95805.854, 3463.486	Vol: 2034663.3302	PR:0.52	xCP-growth: {1.0001277240}	APY:1.2%	fee:0.981% .
t=1736048035 2.6%	trades: 0	AMM: 96153.320, 3638.499	Target: 95805.854, 3463.486	Vol: 2034663.3302	PR:0.52	xCP-growth: {1.0001277240}	APY:1.1%	fee:0.981% .
t=1736058275 2.7%	trades: 0	AMM: 96153.320, 3638.499	Target: 95805.854, 3463.486	Vol: 2034663.3302	PR:0.52	xCP-growth: {1.0001277240}	APY:1.1%	fee:0.981% .
t=1736068515 2.8%	trades: 0	AMM: 96153.320, 3638.499	Target: 95805.854, 3463.486	Vol: 2034663.3302	PR:0.52	xCP-growth: {1.0001277240}	APY:1.1%	fee:0.981% .
t=1736078755 2.9%	trades: 0	AMM: 96153.320, 3638.499	Target: 95805.854, 3463.486	Vol: 2034663.3302	PR:0.52	xCP-growth: {1.0001277240}	APY:1.0%	fee:0.981% .
t=1736088995 2.9%	trades: 0	AMM: 96153.320, 3631.521	Target: 95805.854, 3463.486	Vol: 2040902.7194	PR:0.53	xCP-growth: {1.0001305969}	APY:1.0%	fee:0.963% .
t=1736099235 3.0%	trades: 0	AMM: 96153.320, 3631.521	Target: 95805.854, 3463.486	Vol: 2040902.7194	PR:0.53	xCP-growth: {1.0001305969}	APY:1.0%	fee:0.963% .
t=1736109475 3.1%	trades: 0	AMM: 96153.320, 3631.521	Target: 95805.854, 3463.486	Vol: 2040902.7194	PR:0.53	xCP-growth: {1.0001305969}	APY:1.0%	fee:0.963% .
t=1736119715 3.2%	trades: 0	AMM: 96153.320, 3631.521	Target: 95805.854, 3463.486	Vol: 2040902.7194	PR:0.53	xCP-growth: {1.0001305969}	APY:1.0%	fee:0.963% .
t=1736129955 3.2%	trades: 0	AMM: 96153.320, 3641.904	Target: 95840.601, 3477.608	Vol: 2051279.3194	PR:0.51	xCP-growth: {1.0001273980}	APY:0.9%	fee:0.952% .
t=1736140195 3.3%	trades: 0	AMM: 98188.831, 3641.904	Target: 95840.601, 3477.608	Vol: 2057533.9194	PR:0.51	xCP-growth: {1.0001302671}	APY:0.9%	fee:0.961% .
t=1736150435 3.4%	trades: 0	AMM: 98526.825, 3641.904	Target: 95840.601, 3477.608	Vol: 2071231.3194	PR:0.52	xCP-growth: {1.0001366450}	APY:0.9%	fee:0.982% .
t=1736160675 3.5%	trades: 0	AMM: 98526.825, 3641.904	Target: 95840.601, 3477.608	Vol: 2071231.3194	PR:0.52	xCP-growth: {1.0001366450}	APY:0.9%	fee:0.982% .
t=1736170915 3.5%	trades: 0	AMM: 98526.825, 3641.904	Target: 95840.601, 3477.608	Vol: 2071231.3194	PR:0.52	xCP-growth: {1.0001366450}	APY:0.9%	fee:0.982% .
t=1736181155 3.6%	trades: 0	AMM: 100953.336, 3703.241	Target: 96824.983, 3524.719	Vol: 2182241.4067	PR:0.52	xCP-growth: {1.0001626099}	APY:1.0%	fee:1.020% .
